                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3286,                 4.3594,                 1.1284,                0.00333,                      1,                0.00479,                0.00352,                0.45573,                 4.0539,                0.87214,                0.00012,                0.00012,                0.00012
                      2,                 0.7903,                 3.0974,                0.87503,                0.00333,                      1,                0.15729,                0.07276,                0.74109,                 3.7712,                0.87616,             0.00025743,             0.00025743,             0.00025743
                      3,                 0.6685,                 1.9947,                0.83275,                0.00333,                      1,                0.00754,                0.00627,                0.57998,                 3.8205,                0.84068,             0.00039208,             0.00039208,             0.00039208
                      4,                0.64542,                 1.5051,                0.86569,                0.00333,                      1,                 0.0073,                 0.0065,                0.49687,                 3.9182,                   0.83,             0.00052396,             0.00052396,             0.00052396
                      5,                 0.5538,                 1.3511,                0.83946,                0.00333,                      1,                0.00611,                0.00545,                0.59588,                 3.9518,                0.84415,             0.00065307,             0.00065307,             0.00065307
                      6,                0.55117,                 1.2304,                0.83187,                0.00333,                      1,                0.46626,                0.41956,                0.48864,                 3.8297,                0.82169,             0.00077941,             0.00077941,             0.00077941
                      7,                0.56487,                  1.334,                 0.8535,                0.00333,                      1,                0.75818,                 0.6699,                0.51434,                 3.6321,                0.84517,             0.00090298,             0.00090298,             0.00090298
                      8,                0.57022,                 1.1256,                0.82943,                0.00333,                      1,                0.71841,                0.64099,                0.53686,                 3.5285,                0.86501,              0.0010238,              0.0010238,              0.0010238
                      9,                0.57617,                  1.168,                0.83952,                      1,                  0.689,                  0.995,                0.86521,                0.55918,                 2.9706,                0.86156,              0.0011418,              0.0011418,              0.0011418
                     10,                0.55087,                 1.1684,                0.83216,                      1,                0.98253,                  0.995,                0.88261,                0.51271,                 2.8468,                0.83663,               0.001257,               0.001257,               0.001257
                     11,                 0.5943,                0.95447,                0.85289,                0.98761,                      1,                  0.995,                0.88419,                0.50423,                 2.2637,                0.85008,              0.0013695,              0.0013695,              0.0013695
                     12,                0.59081,                 1.1193,                0.83158,                0.98862,                      1,                  0.995,                0.83107,                0.59158,                 1.9996,                0.84077,              0.0014792,              0.0014792,              0.0014792
                     13,                0.54514,                0.98585,                0.83292,                0.99413,                      1,                  0.995,                0.85515,                0.56014,                 1.5476,                0.83355,              0.0015862,              0.0015862,              0.0015862
                     14,                0.53977,                0.92717,                0.82533,                0.99012,                      1,                  0.995,                0.86799,                 0.5406,                 1.3654,                0.83198,              0.0016903,              0.0016903,              0.0016903
                     15,                0.54859,                0.97383,                0.84115,                0.99724,                      1,                  0.995,                0.89169,                0.51836,                  1.152,                0.81768,              0.0017228,              0.0017228,              0.0017228
                     16,                0.53136,                0.93199,                0.82497,                0.99476,                      1,                  0.995,                0.90062,                0.52013,                 1.1619,                0.81168,              0.0017228,              0.0017228,              0.0017228
                     17,                0.47218,                0.88195,                0.85437,                0.99419,                      1,                  0.995,                0.95054,                0.42995,                 1.1698,                0.81281,               0.001703,               0.001703,               0.001703
                     18,                 0.5665,                0.92405,                0.84457,                0.99624,                      1,                  0.995,                0.88206,                0.45503,                 1.0895,                0.81342,              0.0016832,              0.0016832,              0.0016832
                     19,                0.46018,                0.78896,                0.81208,                 0.9968,                      1,                  0.995,                0.88932,                0.45301,                 0.9889,                0.80678,              0.0016634,              0.0016634,              0.0016634
                     20,                 0.5607,                0.80349,                0.83612,                0.99553,                      1,                  0.995,                0.87733,                0.49778,                0.90473,                0.81099,              0.0016436,              0.0016436,              0.0016436
                     21,                0.48155,                0.74926,                0.83293,                0.99598,                      1,                  0.995,                0.92617,                0.45728,                0.83893,                0.80386,              0.0016238,              0.0016238,              0.0016238
                     22,                0.48668,                0.82339,                 0.8249,                 0.9952,                      1,                  0.995,                 0.9237,                0.41071,                 1.0013,                0.79738,               0.001604,               0.001604,               0.001604
                     23,                0.50478,                0.78676,                0.84609,                0.99625,                      1,                  0.995,                0.94755,                0.41805,                0.78271,                0.80622,              0.0015842,              0.0015842,              0.0015842
                     24,                0.48161,                0.67954,                0.83198,                0.99564,                      1,                  0.995,                0.91823,                0.39919,                0.75661,                0.83205,              0.0015644,              0.0015644,              0.0015644
                     25,                0.43398,                0.68959,                0.84704,                0.99581,                      1,                  0.995,                0.97349,                 0.3463,                 0.7276,                0.79845,              0.0015446,              0.0015446,              0.0015446
                     26,                 0.5176,                0.69271,                0.86006,                0.99669,                      1,                  0.995,                 0.9134,                 0.4574,                0.68498,                0.84894,              0.0015248,              0.0015248,              0.0015248
                     27,                0.50488,                 0.7346,                 0.8401,                0.99598,                      1,                  0.995,                0.91911,                0.39002,                0.68299,                0.81901,               0.001505,               0.001505,               0.001505
                     28,                0.46756,                0.68311,                0.79078,                0.99633,                      1,                  0.995,                 0.9201,                0.41909,                0.55852,                0.80196,              0.0014852,              0.0014852,              0.0014852
                     29,                 0.4638,                0.69951,                0.82259,                0.99664,                      1,                  0.995,                0.92772,                0.42296,                0.56983,                0.79926,              0.0014654,              0.0014654,              0.0014654
                     30,                0.45572,                0.68686,                0.81513,                0.99621,                      1,                  0.995,                0.94906,                0.44205,                0.65196,                0.78822,              0.0014456,              0.0014456,              0.0014456
                     31,                0.44971,                0.63503,                0.82114,                0.99662,                      1,                  0.995,                0.93626,                0.36405,                0.59566,                0.78289,              0.0014258,              0.0014258,              0.0014258
                     32,                0.45349,                0.60623,                0.81606,                0.99677,                      1,                  0.995,                 0.9238,                0.40108,                0.57472,                0.79484,               0.001406,               0.001406,               0.001406
                     33,                0.41235,                0.61519,                0.81897,                 0.9968,                      1,                  0.995,                 0.9313,                0.38756,                0.54708,                0.80131,              0.0013862,              0.0013862,              0.0013862
                     34,                0.41097,                 0.5455,                 0.8429,                0.99691,                      1,                  0.995,                0.90521,                 0.4399,                0.56257,                0.81163,              0.0013664,              0.0013664,              0.0013664
                     35,                0.40472,                0.54521,                0.82323,                0.99696,                      1,                  0.995,                0.94491,                0.35384,                0.50191,                0.79119,              0.0013466,              0.0013466,              0.0013466
                     36,                0.39484,                0.53171,                0.82727,                0.99694,                      1,                  0.995,                0.95529,                0.35218,                0.49676,                0.78853,              0.0013268,              0.0013268,              0.0013268
                     37,                0.38847,                0.53607,                0.82137,                0.99692,                      1,                  0.995,                0.95078,                0.34364,                0.46475,                0.79028,               0.001307,               0.001307,               0.001307
                     38,                0.35004,                 0.5331,                0.81047,                0.99692,                      1,                  0.995,                0.94671,                0.37342,                0.45204,                0.78993,              0.0012872,              0.0012872,              0.0012872
                     39,                0.36841,                0.50628,                0.80566,                0.99695,                      1,                  0.995,                0.96055,                0.37123,                0.51548,                0.78063,              0.0012674,              0.0012674,              0.0012674
                     40,                0.35524,                0.47087,                 0.8106,                0.99693,                      1,                  0.995,                0.97643,                0.31435,                0.46424,                0.78136,              0.0012476,              0.0012476,              0.0012476
                     41,                0.35425,                0.48439,                0.81582,                0.99692,                      1,                  0.995,                0.96627,                0.34097,                0.45197,                0.78356,              0.0012278,              0.0012278,              0.0012278
